exercise_id,exercise_name,muscle_group,equipment,difficulty_level,duration_minutes,calories_per_minute
73,Exercise_73,Cardio,None,Advanced,60,11.0
74,Exercise_74,Core,Cardio Equipment,Intermediate,30,8.0
75,Exercise_75,Full Body,Cardio Equipment,Advanced,30,4.7
76,Exercise_76,Chest,Machine,Advanced,30,9.9
77,Exercise_77,Flexibility,Barbell,Advanced,45,11.7
78,Exercise_78,Flexibility,Dumbbells,Beginner,30,9.9
79,Exercise_79,Core,Barbell,Beginner,30,6.7
80,Exercise_80,Legs,Dumbbells,Intermediate,60,10.4
81,Exercise_81,Core,Bodyweight,Intermediate,45,8.7
82,Exercise_82,Cardio,Bodyweight,Beginner,45,3.0
83,Exercise_83,Flexibility,Cardio Equipment,Beginner,30,10.0
84,Exercise_84,Back,Mat,Advanced,15,10.1
85,Exercise_85,Core,Cardio Equipment,Beginner,15,11.7
86,Exercise_86,Core,Barbell,Beginner,30,6.7
87,Exercise_87,Legs,Dumbbells,Beginner,15,9.4
88,Exercise_88,Core,None,Beginner,45,5.9
89,Exercise_89,Flexibility,Barbell,Intermediate,15,4.8
90,Exercise_90,Full Body,Barbell,Beginner,30,10.8
91,Exercise_91,Core,Barbell,Intermediate,45,11.7
92,Exercise_92,Back,Bodyweight,Intermediate,15,11.4
93,Exercise_93,Cardio,Mat,Beginner,45,4.0
94,Exercise_94,Chest,Machine,Intermediate,30,7.4
95,Exercise_95,Cardio,None,Intermediate,30,11.8
96,Exercise_96,Chest,Barbell,Beginner,60,3.9
97,Exercise_97,Cardio,Bodyweight,Beginner,15,12.0
98,Exercise_98,Full Body,Machine,Beginner,45,4.8
99,Exercise_99,Core,Bodyweight,Intermediate,30,4.9
100,Exercise_100,Chest,Mat,Beginner,60,8.2
